Content,Actual_Label,Predicted_Label
"Anggota Komisi I DPR, TB Hasanuddin mengingatkan agar aparat tidak menggunakan cara kekerasan dalam merespons pengibaran bendera Bulan Bintang yang identik dengan Gerakan Aceh Merdeka ( GAM ) di beberapa wilayah di Aceh baru-baru ini. Hasanuddin menilai pemerintah dan aparat perlu melihat fenomena itu sebagai gejala sosial yang harus disikapi secara bijak, tenang, dan proporsional. ""Pengibaran bendera GAM ini merupakan gejala sosial. Kita berharap penyelesaiannya tidak dilakukan dengan kekerasan, apalagi menggunakan senjata. Pendekatan yang tepat adalah dialog dan langkah persuasif dengan sebaik-baiknya,"" ujar dia dalam keterangannya, Minggu (27/12). Politikus PDIP itu menilai pemerintah saat ini mestinya fokus pada penanganan dan rehabilitasi terhadap para korban bencana. Mereka dinilai lebih membutuhkan kehadiran negara ketimbang suasana yang memicu ketegangan. ""Masyarakat membutuhkan kehadiran negara untuk membantu mereka bangkit, bukan suasana yang justru berpotensi memicu ketegangan,"" katanya. Dia pun mengajak masyarakat untuk menahan diri dan tidak terpancing oleh provokasi yang dapat memperkeruh situasi. Hasanuddin mengingatkan pentingnya menjaga perdamaian Aceh yang dibangun melalui proses panjang dan pengorbanan besar. ""Perdamaian adalah aset yang sangat berharga. Mari kita jaga bersama dengan mengedepankan dialog, kemanusiaan, dan kepentingan rakyat Aceh,"" kata dia. Aksi pembubaran paksa yang dilakukan TNI terhadap iring-iringan warga sambil mengibarkan bendera GAM berbuntut panjang. Video itu sempat viral di media sosial pada 25-26 Desember. Kepala Pusat Penerangan TNI Mayjen (Mar) Freddy Ardianzah mengatakan dalam tindakannya, aparat TNI-Polri telah mengutamakan langkah persuasif dengan mengimbau agar aksi dihentikan dan bendera diserahkan. Namun, kata dia, imbauan itu tidak diindahkan, sehingga aparat melakukan pembubaran dengan mengamankan bendera guna mencegah eskalasi situasi. Freddy menyebut setelahnya, salah satu pelaku kemudian diserahkan kepada pihak kepolisian untuk diproses sesuai hukum yang berlaku. ""Korlap aksi demo menyatakan bahwa kejadian tersebut hanya selisih paham dan sepakat berdamai dengan aparat. TNI menghimbau agar masyarakat tidak mudah terprovokasi oleh informasi yang belum terverifikasi kebenarannya,"" ucap dia.",Politik,Hukum Kriminal
"Forum Solidaritas Hakim Ad Hoc (FSHA) Indonesia bertemu dengan Komisi III DPR untuk melaporkan sejumlah masalah dan beban kerja mereka, termasuk soal tunjangan mereka yang tak naik dalam 13 tahun terakhir. Perwakilan FSHA, Ade Darussalam mengatakan hakim ad hoc selama ini juga tak memiliki gaji pokok. Mereka hanya mendapat penghasilan dari tunjangan kehormatan. ""Hakim ad hoc itu sumber penghasilannya hanya tunjangan kehormatan itu. Tidak punya gaji pokok, tidak punya tunjangan apa pun yang berkaitan dengan tugas pokok fungsinya,"" kata Ade di Kompleks Parlemen Senayan, Jakarta, Rabu (14/1). Ade menyebut besaran tunjangan kehormatan tak berubah dalam 13 tahun terakhir. Padaha dalam undang-undang, kata Ade, hakim ad hoc mestinya turut menerima tunjangan rumah dinas. Tapi, hakim ad hoc harus mengalah jika hakim karir menerima tunjangan rumah dinas yang sama. ""Tepatnya kurang lebih 13 tahun hakim ad hoc itu tidak pernah mengalami perubahan kesejahteraan,"" ujarnya. FSHA juga mengeluhkan status hakim ad hoc yang belum memiliki payung hukum. Akibatnya, kebijakan hakim ad hoc kerap dipertanyakan dan ditafsirkan semena-mena. Wakil Ketua Komisi III DPR, I Wayan Sudirta selaku pimpinan rapat berjanji bakal menindaklanjuti aspirasi para hakim ad hoc. Namun, dia berharap mereka tak melakukan mogok kerja. ""Karena kehadiran saudara, dalam majelis tertentu imperatif, mengikat sifatnya, tanpa kehadiran saudara sidang-sidang enggak bisa berlangsung, boleh dong imbalannya kami menghimbau jangan ada mogok sidang,"" katanya. Sementara, dalam kesimpulannya, Komisi III meminta kementerian terkait dan Mahkamah Agung (MA) mengevaluasi Peraturan Presiden Nomor 5 Tahun 2013 juncto Peraturan Presiden Nomor 42 Tahun 2023 tentang Hak Keuangan dan Fasilitas Hakim Ad Hoc. Evaluasi itu dilakukan khususnya perihal pemenuhan hak fasilitas tunjangan untuk Hakim Ad Hoc, seperti tunjangan keluarga, beras, jaminan kesehatan, dan hak-hak non-gaji lainnya. ""Dua, Komisi III DPR RI meminta MA memberikan perlindungan bagi Hakim Ad Hoc yang melakukan penyampaian aspirasi sepanjang sejalan dengan peraturan perundang-undangan yang berlaku,"" katanya.",Hukum Kriminal,Politik
"Anggota Komisi Percepatan Reformasi Polri (KPRP) Mahfud MD mengatakan pihaknya telah mengantongi total 30 masalah atau masukan selama menggelar serangkaian dengar pendapat umum ( public hearing ) untuk perbaikan institusi kepolisian. Dan, katanya, satu persoalan telah disepakati solusinya oleh KPRP. Persoalan yang telah disepakati itu adalah soal rekrutmen Polri. Mahfud mengatakan KPRP sudah sepakat tak boleh lagi ada 'titipan' atau jatah untuk instansi tertentu dalam rekrutmen Polri. Dalam rumusan rekrutmen Polri yang disepakati KPRP, kata dia, jalur afirmasi disediakan sebagai solusinya. Jalur afirmasi itu mencakup rekrutmen yang mengakomodasi masyarakat dari wilayah Tertinggal, Terdepan dan Terluar (3T). ""Itu kayak Papua itu, nanti dapat jatah sendiri dengan passing grade yang berbeda,"" ujar Mahfud di Kampus UGM, Sleman, DIY, Kamis (15/1). Melalui jalur afirmasi ini, kata Mahfud, rekrutmen anggota Polri juga harus menyediakan kuota bagi perempuan dan anak berprestasi. ""Perempuan harus dapat jatah tertentu. Lalu yang ketiga, orang berprestasi. [Lulusan] SMA yang berprestasi nasional di berbagai bidang akan diberi jatah juga. Itu sudah disepakati,"" tegasnya. Mahfud menekankan skema rekrutmen yang disusun KPRP ini berlaku untuk jalur masuk kepolisian dari tingkat tamtama, bintara, hingga perwira. ""Masalah sudah disepakati bahwa rekrutmen polisi besok tidak boleh ada titip-titipan. Selama ini kan ada jatah khusus, tuh. DPR nitip, Parpol nitip, menteri nitip, ini nitip. Sehingga anaknya polisi sendiri nitip, sehingga banyak rakyat enggak dapat,"" kata eks Menko Polhukam itu. Mahfud mengatakan hasil rumusan yang disusun KPRP atas semua masukan untuk perbaikan institusi Polri ini akan disampaikan ke meja Presiden RI Prabowo Subianto. Sementara, demi memutus rantai titipan dalam rekrutmen polisi, ke depannya nantinya akan diatur lewat peraturan dari Kapolri atau mungkin Peraturan Presiden (Perpres) secepat mungkin. ""Besok enggak boleh lagi (titip), karena itu juga yang merusak meritokrasi,"" kata Mahfud yang dikenal pernah jadi Ketua Mahkamah Konstitusi (MK) itu. Isu lain, selain masalah rekrutmen yang masih dalam pembahasan adalah perihal rotasi dan mutasi di Korps Bhayangkara. Dia bilang KPRP ingin proses rotasi dan mutasi di Korps Bhayangkara didasarkan pada meritokrasi.",Hukum Kriminal,Politik
"Koalisi masyarakat sipil mendesak Presiden Prabowo Subianto untuk mengeluarkan peraturan pemerintah pengganti undang-undang (Perppu) membatalkan pemberlakuan UU KUHAP baru. Desakan itu disampaikan saat Koalisi Masyarakat Sipil untuk Pembaruan KUHAP yang terdiri dari berbagai organisasi sipil menggelar konferensi pers pada hari ini, Sabtu (22/11) di gedung Yayasan Lembaga Bantuan Hukum Indonesia (YLBHI), Jakarta. ""Sangat beralasan, Prabowo sebagai presiden segera menetapkan dan mengeluarkan Perpu, ya. Penundaan dan pembatalan atau perubahan untuk KUHAP,"" kata Direktur YLBHI Muhamad Isnur dalam konferensi pers. DPR mengesahkan KUHAP baru pada awal pekan ini. Setelah disahkan, presiden punya waktu 30 hari untuk menandatangani RUU. Jika tidak, KUHAP itu akan otomatis menjadi undang-undang. KUHAP baru itu dilaporkan mulai berlaku pada awal Januari 2026. Lebih lanjut, Isnur menjabarkan potensi bahaya yang bisa mengganggu asta cita Prabowo jika KUHAP itu diberlakukan. Salah satu poin dalam asta cita tersebut adalah memperkuat reformasi politik, hukum, dan birokrasi, serta memperkuat pencegahan dan pemberantasan korupsi dan narkoba. ""Ini sangat membahayakan agenda pemberantasan narkoba. Karena penyidik BNN akan kehilangan kewenangan menangkap dan menahan tanpa perintah penyidik Polri,"" kata Isnur. KUHAP baru, lanjut dia, juga membahayakan penanganan isu terkait bea cukai, kehutanan, dan Komnas HAM yang sedang menyelidiki kejahatan HAM berat. Dia lalu memberi contoh di Pasal 93, KUHAP menyatakan penyidik pegawai negeri sipil (PPNS) dan penyidik tertentu tak bisa melakukan penangkapan kecuali atas perintah penyidik Polri. Padahal penyidik BNN, sesuai Undang-Undang narkotika, UU No 35 Tahun 2009 Pasal 75, bisa melakukan penangkapan dan penahanan. Sementara itu, di Undang-Undang Perhutanan UU No 41 Tahun 1999 di Pasal 18 serta UU Nomor 18 Tahun 2013 tentang Pencegahan Perusakan Hutan juga disebutkan bahwa polisi perhutanan bisa melakukan penangkapan dan penahanan. Namun, di KUHAP baru pula terdapat Pasal 363 yang menyatakan saat UU ini mulai berlaku, semua ketentuan mengenai peraturan kewenangan dan penyidik tertentu, tetap berlaku, sepanjang tidak bertentangan. ""Nah, situasinya bertentangan. Undang-Undang Narkotika, Undang-Undang Kepabeanan, Undang-Undang Kehutanan menyatakan mereka punya kewenangan. Tapi di Undang-Undang KUHAP, tidak punya kewenangan,"" kata Isnur. Dia lalu berujar, ""Maka Prabowo dengan ini berarti membiarkan terjadi kekacauan dalam penanganan itu. Bahaya sekali.""",Politik,Hukum Kriminal
"Sejumlah tahanan kasus dugaan korupsi menggunakan hak pilih untuk mencoblos pasangan gubernur dan wakil gubernur Jakarta di Rumah Tahanan Negara (Rutan) Cabang KPK , Rabu (27/11). ""Dari total 40 orang tahanan di Rutan KPK, 10 di antaranya tercatat memiliki KTP DKI dan terdaftar sebagai pemilih tetap untuk Pilkada di Wilayah DKI Jakarta,"" ujar Tim Juru Bicara KPK Budi Prasetyo melalui keterangan tertulis, Rabu (27/11). ""Yakni enam orang tahanan di gedung KPK Merah Putih dan empat orang tahanan di gedung KPK C1,"" sambungnya. Sepuluh tahanan tersebut ialah Direktur Utama PT Permana Putra Mandiri (PPM) Ahmad Taufik; Direktur Utama PT Energi Kita Indonesia (EKI) Satrio Wibowo; Pejabat Pembuat Komitmen (PPK) sekaligus Kasubdit Pengawakan dan Perbekalan Direktorat Sarana dan Prasarana Badan SAR periode 2013-2014 Anjar Sulistiyono; Sestama Basarnas periode 2009-2015Max Ruland Boseke; dan mantan pejabat Bea Cukai Andhi Pramono. Selanjutnya Direktur Pengembangan Perumda Pembangunan Sarana Jaya 2019-sekarang Indra Sukmono Arharrys; Komisaris PT Totalindo Eka Persada Saut Irianto Rajagukguk; Direktur PT Envio Global Persada (EGP) Richard Cahyanto; Direktur Pengembangan Bisnis tahun 2019-2020 Sahata Lumban Tobing; dan pengendali PT Mitra Bina Selaras Toras Sotarduga Panggabean. ""Pemungutan suara dilakukan di area dalam Rutan gedung KPK Merah Putih yang berlangsung efektif mulai pukul 11.25 dan selesai pukul 11.40 WIB,"" ucap Budi. Dalam proses pemungutan suara itu, KPK bekerja sama dengan panitia pemungutan suara wilayah Guntur, Jakarta. Terdiri dari Petugas KPPS dua orang, pengawas pemilu satu orang, dan saksi satu orang. ""Pelaksanaan pemungutan suara ini untuk menjamin dan memastikan hak-hak dasar tahanan, salah satunya sebagai pemilih dalam pilkada terpenuhi,"" kata Budi. ""KPK menyampaikan apresiasi dan terima kasih pada para petugas, sehingga prosesnya dapat berjalan lancar dan sesuai asas-asas pemilu,"" tandasnya.",Pemilu,Hukum Kriminal
"Anggota Brimob Polda Aceh Muhammad Rio desersi dan bergabung dengan angkatan bersenjata Rusia . Kepala Bidang Humas Polda Aceh Komisaris Besar Joko Krisdiyanto mengatakan Rio diketahui bergabung dengan tentara Rusia setelah mengirim pesan WhatsApp kepada sejumlah anggota Polda Aceh, Rabu (7/1). Rio diduga mendapatkan imbalan bayaran yang besar sebagai tentara Rusia. ""Isi pesan WhatsApp tersebut berupa dokumentasi foto dan video yang menunjukkan bahwa yang bersangkutan telah bergabung dengan divisi tentara bayaran Rusia, serta menggambarkan proses pendaftaran hingga nominal gaji yang diterima dalam mata uang rubel yang dikonversi ke rupiah,"" kata Joko Krisdiyanto dalam keterangannya, Sabtu (17/1). Provos Polda Aceh, sambungnya, sudah mencari Rio karena tak hadir dalam dinas. Namun, dua kali panggilan yang sudah dilayangkan tak digubris Rio. Provos Brimob juga disebut telah melaporkan Rio ke Bidpropam Polda Aceh dan Brimob juga menerbitkan Daftar Pencarian Orang (DPO). Akibatnya, Rio kini diberhentikan dengan tidak hormat.Dalam Sidang KKEP pada Kamis dan Jumat (8-9/1) lalu, Rio terbukti bersalah dan diputuskan dipecat. ""Putusan sidang berupa sanksi administratif Pemberhentian Tidak Dengan Hormat (PTDH),"" kata Joko. Rio sebelumnya juga telah memiliki riwayat pelanggaran kode etik profesi Polri yakni kasus perselingkuhan hingga menikah siri. Kasus tersebut diputus melalui Sidang KKEP pada 14 Mei 2025 dengan Nomor: PUT KKEP/12/V/2025/KKEPP. Salah satu isi putusan adalah sanksi administratif berupa mutasi demosi selama dua tahun dan penempatan di Yanma Brimob. ""Bripda Muhammad Rio ini pernah bermasalah karena melanggar kode etik profesi Polri. Putusannya berupa mutasi demosi selama dua tahun,"" ujar Joko. Rio sendiri sudah tiga kali menjalani sidang KKEP; satu kali atas kasus perselingkuhan dan dua kali atas kasus disersi serta dugaan keterkaitan dengan tentara Rusia.",Peristiwa,Hukum Kriminal
"Presiden Prabowo Subianto meminta jajaran kejaksaan dan kepolisian untuk melakukan evaluasi dan koreksi terhadap proses penegakan hukum yang dilakukan. Hal itu disampaikan Prabowo dalam acara penyerahan uang sitaan senilai Rp13,2 triliun oleh Kejaksaan Agung (Kejagung) di kasus korupsi persetujuan ekspor Crude Palm Oil (CPO) minyak kelapa sawit periode 2021-2022. ""Ini saya ingatkan karena juga kejaksaan termasuk lembaga yang harus koreksi diri juga,"" ujarnya di Gedung Utama Kejagung, Senin (20/10). Prabowo mengaku masih mendapat laporan terkait aksi jaksa di daerah yang melakukan pelanggaran. Oleh karena itu, ia mengingatkan agar tidak ada lagi aksi kriminalisasi khususnya terhadap rakyat kecil. ""Orang kecil, orang lemah itu hidupnya sudah sangat susah. Jangan diperberat oleh mencari-cari hal yang tidak perlu dicari,"" jelasnya. Ia lantas mencontohkan beberapa kasus yang sempat terjadi seperti penangkapan anak SD karena mencuri ayam. Menurutnya penegakan hukum di kasus tersebut sangat tidak masuk akal. ""Saya ingat benar, ada anak SD, anak di bawah umur ditangkap karena mencuri ayam. Saya ingat benar itu. Ini tidak masuk di akal,"" tuturnya. ""Hakim, Jaksa ada apa ngejar, iya kan. Anda pasti ingat peristiwa itu. Ada lagi ibu-ibu ditangkap mencuri pohon. Mungkin ingat juga peristiwa itu. Ada apa?,"" imbuhnya. Prabowo mengingatkan agar penegakan hukum harus dilakukan dengan mengedepankan hati nurani. Jangan sampai, kata dia, masih ada istilah hukum yang tumpul ke atas dan tajam ke bawah di masyarakat. ""Orang kecil, orang lemah harus dibela, harus dibantu. Kalau perlu si hakim, si jaksa atau si polisi pakai uangnya sendiri ganti ayamnya, anaknya dibantu. Anak itu saya ingat saya panggil tuh ke Hambalang saya kasih beasiswa,"" katanya.",Politik,Hukum Kriminal
"Anggota Komisi VIII DPR RI dari Fraksi PDI Perjuangan, Matindas J Rumambi meminta data kemiskinan nasional diperbaharui pascabencana di Pulau Sumatra . Berdasar laporan Badan Pusat Statistik (BPS) tahun 2025, angka kemiskinan nasional sebesar 8,47 persen (sekitar 23,85 juta orang) dan miskin ekstrem 0,85 persen (sekitar 2.38 juta orang). Angka itu berpotensi naik setelah banjir dan tanah longsor melanda Aceh, Sumatra Utara dan Sumatra Barat. Ia mengatakan bencana tidak hanya menimbulkan kerusakan fisik dan korban jiwa, tetapi juga berdampak langsung pada hilangnya tempat tinggal, mata pencaharian masyarakat, aset produktif, menurunnya daya beli, serta meningkatnya kerentanan sosial-ekonomi. ""Lonjakan angka kemiskinan pascabencana harus menjadi alarm serius bagi pemerintah. Negara wajib memastikan dampak sosial-ekonomi masyarakat terdampak tercatat dan tertangani dengan baik, maka dari itu BPS harus melakukan pemutakhiran data kemiskinan nasional,"" kata Matindas dalam keterangan tertulis, Sabtu (17/1). Ia mengingatkan digitalisasi dan validasi data kemiskinan oleh BPS harus dilakukan secara komprehensif, cepat, dan adaptif terhadap situasi pascabencana. Ia menyebut tanpa data yang mutakhir dan mencerminkan kondisi riil pascabencana, risiko salah sasaran bantuan sangat besar. ""Masyarakat yang tiba-tiba jatuh miskin akibat bencana bisa tidak terjangkau program perlindungan sosial, sementara data lama tidak lagi relevan,"" ujar Matindas. Matindas juga menyoroti pentingnya sinkronisasi data antara BPS, kementerian/lembaga terkait dan pemerintah daerah, agar kelompok masyarakat terdampak bencana dapat segera masuk dalam skema bantuan sosial, rehabilitasi, dan pemberdayaan ekonomi pada Data Tunggal Sosial Ekonomi Nasional (DTSEN). ""Perbaikan data ini diharapkan menjadi fondasi utama dalam penyusunan strategi rehabilitasi dan rekonstruksi ekonomi nasional tahun 2026 agar lebih inklusif dan responsif terhadap krisis,"" ujarnya. Berdasar data BNPB per 17 Januari, bencana di tiga provinsi itu menimbulkan 1.190 korban jiwa. Ada 141 jiwa masih hilang. Adapun total pengungsi mencapai 131 ribu jiwa.",Politik,Peristiwa
"Kapolri Jenderal Listyo Sigit Prabowo menyebut Program Smart City menjadi salah satu pilar utama transformasi pelayanan kepolisian yang berbasis teknologi. Sigit mengatakan program itu dirancang menjadi pusat komando dan kendali untuk mendukung pelaksanaan tugas kepolisian yang terintegrasi, cepat dan berbasis data. Sigit mengklaim Smart City juga berfungsi sebagai penghubung berbagai sistem, perangkat dan pemangku kepentingan dalam memberikan layanan kepolisian kepada masyarakat secara optimal. ""Program Smart City kami tempatkan sebagai pusat komando dan kendali untuk mendukung pelaksanaan tugas kepolisian secara terintegrasi, cepat, dan berbasis data,"" ujarnya dalam Raker dengan Komisi III DPR, Senin (26/1). Dalam pelaksanaannya, Smart City bertugas sebagai monitoring dan command center yang memungkinkan fungsi komando, kendali, komunikasi, serta penyediaan informasi pelayanan masyarakat berjalan secara real time. Dengan sistem itu, kata dia, penanganan situasi di lapangan dapat dilakukan secara lebih terkoordinasi dan terukur. Lebih lanjut, ia mengatakan dukungan teknologi juga disiapkan lewat penyediaan platform yang memungkinkan integrasi data lintas sistem, pemantauan kondisi lapangan, serta analisis situasi secara menyeluruh. Sigit menyebut, manfaat Smart City dapat dirasakan langsung oleh masyarakat, terutama dalam mendukung penanggulangan permasalahan keamanan, keselamatan, ketertiban, dan kelancaran lalu lintas (kamseltibcarlantas), serta pemeliharaan keamanan dan ketertiban masyarakat (kamtibmas). ""Pemanfaatan sistem digital, pemantauan berbasis CCTV, serta analitik data memungkinkan deteksi dini, pencegahan potensi gangguan, dan percepatan penanganan kejadian di lapangan,"" ujarnya. Lebih lanjut, kata Sigit, pengembangan Smart City berbasis Road Safety Policing menjadi bagian dari implementasi program tersebut. Fokusnya adalah peningkatan keselamatan berlalu lintas dan pengelolaan mobilitas masyarakat melalui integrasi data lalu lintas serta pemetaan wilayah rawan kecelakaan. ""Integrasi data lalu lintas dan pemetaan wilayah rawan memungkinkan rekayasa lalu lintas yang lebih tepat, sekaligus menurunkan risiko kecelakaan pada titik-titik kritis,"" tuturnya. Melalui Program Smart City dan dukungan solusi teknologi yang terintegrasi, Sigit menegaskan pelayanan kepolisian ke depan akan semakin responsif, modern dan berorientasi pada kebutuhan nyata masyarakat. ""Program Smart City menjadi fondasi penting dalam penguatan kamseltibcarlantas dan kamtibmas secara berkelanjutan, serta menunjukkan peran teknologi sebagai enabler dalam transformasi layanan publik,"" pungkasnya.",Hukum Kriminal,Peristiwa
